name,rank,year,homeruns
Giancarlo Stanton,1,2017,57
Aaron Judge,2,2017,48
J.D. Martinez,3,2017,43
Khris Davis,4,2017,41
Cody Bellinger,5,2017,39
Justin Smoak,6,2017,38
Joey Gallo,6,2017,38
Edwin Encarnacion,8,2017,37
Mike Moustakas,8,2017,37
Logan Morrison,8,2017,37
Nelson Cruz,8,2017,37
Mark Trumbo,1,2016,47
Nelson Cruz,2,2016,43
Brian Dozier,3,2016,42
Khris Davis,3,2016,42
Edwin Encarnacion,3,2016,42
Nolan Arenado,6,2016,41
Chris Carter,6,2016,41
Todd Frazier,8,2016,40
Robinson Cano,9,2016,39
Kris Bryant,9,2016,39
Chris Davis,1,2015,47
Nelson Cruz,2,2015,44
Nolan Arenado,3,2015,42
Bryce Harper,3,2015,42
Mike Trout,5,2015,41
Josh Donaldson,5,2015,41
Jose Bautista,7,2015,40
Albert Pujols,7,2015,40
Carlos Gonzalez,7,2015,40
Edwin Encarnacion,10,2015,39
Nelson Cruz,1,2014,40
Chris Carter,2,2014,37
Giancarlo Stanton,2,2014,37
Jose Abreu,4,2014,36
Mike Trout,4,2014,36
David Ortiz,6,2014,35
Jose Bautista,6,2014,35
Edwin Encarnacion,8,2014,34
Anthony Rizzo,9,2014,32
Victor Martinez,9,2014,32
Chris Davis,1,2013,53
Miguel Cabrera,2,2013,44
Pedro Alvarez,3,2013,36
Paul Goldschmidt,3,2013,36
Edwin Encarnacion,3,2013,36
Adam Dunn,6,2013,34
Alfonso Soriano,6,2013,34
Mark Trumbo,6,2013,34
Adam Jones,9,2013,33
Evan Longoria,10,2013,32
Miguel Cabrera,1,2012,44
Curtis Granderson,2,2012,43
Josh Hamilton,2,2012,43
Edwin Encarnacion,4,2012,42
Ryan Braun,5,2012,41
Adam Dunn,5,2012,41
Giancarlo Stanton,7,2012,37
Adrian Beltre,8,2012,36
Josh Willingham,9,2012,35
Jay Bruce,10,2012,34
Jose Bautista,1,2011,43
Curtis Granderson,2,2011,41
Matt Kemp,3,2011,39
Mark Teixeira,3,2011,39
Prince Fielder,5,2011,38
Mark Reynolds,6,2011,37
Albert Pujols,6,2011,37
Dan Uggla,8,2011,36
Giancarlo Stanton,9,2011,34
Ryan Braun,10,2011,33
Ryan Howard,10,2011,33
Jose Bautista,1,2010,54
Albert Pujols,2,2010,42
Paul Konerko,3,2010,39
Miguel Cabrera,4,2010,38
Adam Dunn,4,2010,38
Joey Votto,6,2010,37
Carlos Gonzalez,7,2010,34
Mark Teixeira,8,2010,33
Dan Uggla,8,2010,33
David Ortiz,10,2010,32
Mark Reynolds,10,2010,32
Prince Fielder,10,2010,32
Josh Hamilton,10,2010,32
Albert Pujols,1,2009,47
Prince Fielder,2,2009,46
Ryan Howard,3,2009,45
Mark Reynolds,4,2009,44
Adrian Gonzalez,5,2009,40
Mark Teixeira,6,2009,39
Carlos Pena,6,2009,39
Adam Dunn,8,2009,38
Aaron Hill,9,2009,36
Jason Bay,9,2009,36
Jayson Werth,9,2009,36
Ryan Howard,1,2008,48
Adam Dunn,2,2008,40
Carlos Delgado,3,2008,38
Manny Ramirez,4,2008,37
Miguel Cabrera,4,2008,37
Ryan Ludwick,4,2008,37
Albert Pujols,4,2008,37
Ryan Braun,4,2008,37
Adrian Gonzalez,9,2008,36
Carlos Quentin,9,2008,36
Alex Rodriguez,1,2007,54
Prince Fielder,2,2007,50
Ryan Howard,3,2007,47
Carlos Pena,4,2007,46
Adam Dunn,5,2007,40
Matt Holliday,6,2007,36
David Ortiz,7,2007,35
Jim Thome,7,2007,35
Ryan Braun,9,2007,34
Lance Berkman,9,2007,34
Miguel Cabrera,9,2007,34
Ryan Howard,1,2006,58
David Ortiz,2,2006,54
Albert Pujols,3,2006,49
Alfonso Soriano,4,2006,46
Lance Berkman,5,2006,45
Jermaine Dye,6,2006,44
Jim Thome,7,2006,42
Travis Hafner,7,2006,42
Andruw Jones,9,2006,41
Carlos Beltran,9,2006,41
Andruw Jones,1,2005,51
Alex Rodriguez,2,2005,48
David Ortiz,3,2005,47
Derrek Lee,4,2005,46
Manny Ramirez,5,2005,45
Mark Teixeira,6,2005,43
Albert Pujols,7,2005,41
Paul Konerko,8,2005,40
Adam Dunn,8,2005,40
Richie Sexson,10,2005,39
Adrian Beltre,1,2004,48
Albert Pujols,2,2004,46
Adam Dunn,2,2004,46
Barry Bonds,4,2004,45
Manny Ramirez,5,2004,43
Jim Edmonds,6,2004,42
Jim Thome,6,2004,42
Paul Konerko,8,2004,41
David Ortiz,8,2004,41
Vladimir Guerrero,10,2004,39
Moises Alou,10,2004,39
Jim Thome,1,2003,47
Alex Rodriguez,1,2003,47
Barry Bonds,3,2003,45
Richie Sexson,3,2003,45
Albert Pujols,5,2003,43
Javy Lopez,5,2003,43
Frank Thomas,7,2003,42
Carlos Delgado,7,2003,42
Jason Giambi,9,2003,41
Sammy Sosa,10,2003,40
Alex Rodriguez,1,2002,57
Jim Thome,2,2002,52
Sammy Sosa,3,2002,49
Barry Bonds,4,2002,46
Rafael Palmeiro,5,2002,43
Lance Berkman,6,2002,42
Shawn Green,6,2002,42
Jason Giambi,8,2002,41
Alfonso Soriano,9,2002,39
Vladimir Guerrero,9,2002,39
Barry Bonds,1,2001,73
Sammy Sosa,2,2001,64
Luis Gonzalez,3,2001,57
Alex Rodriguez,4,2001,52
Shawn Green,5,2001,49
Todd Helton,5,2001,49
Jim Thome,5,2001,49
Rafael Palmeiro,8,2001,47
Richie Sexson,9,2001,45
Phil Nevin,10,2001,41
Manny Ramirez,10,2001,41
Troy Glaus,10,2001,41
Sammy Sosa,1,2000,50
Barry Bonds,2,2000,49
Troy Glaus,3,2000,47
Jeff Bagwell,3,2000,47
Vladimir Guerrero,5,2000,44
Richard Hidalgo,5,2000,44
Jason Giambi,7,2000,43
Frank Thomas,7,2000,43
Gary Sheffield,7,2000,43
Todd Helton,10,2000,42
Jim Edmonds,10,2000,42
Mark McGwire,1,1999,65
Sammy Sosa,2,1999,63
Ken Griffey,3,1999,48
Rafael Palmeiro,4,1999,47
Greg Vaughn,5,1999,45
Chipper Jones,5,1999,45
Manny Ramirez,7,1999,44
Carlos Delgado,7,1999,44
Vladimir Guerrero,9,1999,42
Shawn Green,9,1999,42
Jeff Bagwell,9,1999,42
Alex Rodriguez,9,1999,42
Mark McGwire,1,1998,70
Sammy Sosa,2,1998,66
Ken Griffey,3,1998,56
Greg Vaughn,4,1998,50
Albert Belle,5,1998,49
Vinny Castilla,6,1998,46
Jose Canseco,6,1998,46
Manny Ramirez,8,1998,45
Juan Gonzalez,8,1998,45
Andres Galarraga,10,1998,44
Mark McGwire,1,1997,58
Ken Griffey,2,1997,56
Larry Walker,3,1997,49
Tino Martinez,4,1997,44
Jeff Bagwell,5,1997,43
Juan Gonzalez,6,1997,42
Andres Galarraga,7,1997,41
Barry Bonds,8,1997,40
Mike Piazza,8,1997,40
Jay Buhner,8,1997,40
Jim Thome,8,1997,40
Vinny Castilla,8,1997,40
Mark McGwire,1,1996,52
Brady Anderson,2,1996,50
Ken Griffey,3,1996,49
Albert Belle,4,1996,48
Juan Gonzalez,5,1996,47
Andres Galarraga,5,1996,47
Jay Buhner,7,1996,44
Mo Vaughn,7,1996,44
Barry Bonds,9,1996,42
Gary Sheffield,9,1996,42
Albert Belle,1,1995,50
Dante Bichette,2,1995,40
Jay Buhner,2,1995,40
Frank Thomas,2,1995,40
Mo Vaughn,5,1995,39
Rafael Palmeiro,5,1995,39
Mark McGwire,5,1995,39
Larry Walker,8,1995,36
Sammy Sosa,8,1995,36
Gary Gaetti,10,1995,35
Matt Williams,1,1994,43
Ken Griffey,2,1994,40
Jeff Bagwell,3,1994,39
Frank Thomas,4,1994,38
Barry Bonds,5,1994,37
Albert Belle,6,1994,36
Fred McGriff,7,1994,34
Jose Canseco,8,1994,31
Andres Galarraga,8,1994,31
Kevin Mitchell,10,1994,30
Juan Gonzalez,1,1993,46
Barry Bonds,1,1993,46
Ken Griffey,3,1993,45
Frank Thomas,4,1993,41
David Justice,5,1993,40
Matt Williams,6,1993,38
Albert Belle,6,1993,38
Rafael Palmeiro,8,1993,37
Fred McGriff,8,1993,37
Ron Gant,10,1993,36
Juan Gonzalez,1,1992,43
Mark McGwire,2,1992,42
Fred McGriff,3,1992,35
Cecil Fielder,3,1992,35
Joe Carter,5,1992,34
Barry Bonds,5,1992,34
Albert Belle,5,1992,34
Gary Sheffield,8,1992,33
Rob Deer,9,1992,32
Mickey Tettleton,9,1992,32
Cecil Fielder,1,1991,44
Jose Canseco,1,1991,44
Howard Johnson,3,1991,38
Cal Ripken,4,1991,34
Matt Williams,4,1991,34
Joe Carter,6,1991,33
Ron Gant,7,1991,32
Frank Thomas,7,1991,32
Fred McGriff,9,1991,31
Danny Tartabull,9,1991,31
Mickey Tettleton,9,1991,31
Andre Dawson,9,1991,31
Cecil Fielder,1,1990,51
Ryne Sandberg,2,1990,40
Mark McGwire,3,1990,39
Darryl Strawberry,4,1990,37
Jose Canseco,4,1990,37
Kevin Mitchell,6,1990,35
Fred McGriff,6,1990,35
Matt Williams,8,1990,33
Barry Bonds,8,1990,33
Ron Gant,10,1990,32
Bobby Bonilla,10,1990,32
Kevin Mitchell,1,1989,47
Howard Johnson,2,1989,36
Fred McGriff,2,1989,36
Joe Carter,4,1989,35
Glenn Davis,5,1989,34
Eric Davis,5,1989,34
Mark McGwire,7,1989,33
Bo Jackson,8,1989,32
Nick Esasky,9,1989,30
Ryne Sandberg,9,1989,30
Jose Canseco,1,1988,42
Darryl Strawberry,2,1988,39
Fred McGriff,3,1988,34
Mark McGwire,4,1988,32
Glenn Davis,5,1988,30
Andres Galarraga,6,1988,29
Will Clark,6,1988,29
Gary Gaetti,8,1988,28
Eddie Murray,8,1988,28
Kevin McReynolds,10,1988,27
Joe Carter,10,1988,27
Jack Clark,10,1988,27
Andre Dawson,1,1987,49
Mark McGwire,1,1987,49
George Bell,3,1987,47
Dale Murphy,4,1987,44
Darryl Strawberry,5,1987,39
Eric Davis,6,1987,37
Howard Johnson,7,1987,36
Jack Clark,8,1987,35
Will Clark,8,1987,35
Mike Schmidt,8,1987,35
Jesse Barfield,1,1986,40
Mike Schmidt,2,1986,37
Dave Kingman,3,1986,35
Gary Gaetti,4,1986,34
Rob Deer,5,1986,33
Jose Canseco,5,1986,33
Glenn Davis,7,1986,31
George Bell,7,1986,31
Kirby Puckett,7,1986,31
Don Mattingly,7,1986,31
Dave Parker,7,1986,31
Don Baylor,7,1986,31
Darrell Evans,1,1985,40
Dale Murphy,2,1985,37
Carlton Fisk,2,1985,37
Steve Balboni,4,1985,36
Don Mattingly,5,1985,35
Dave Parker,6,1985,34
Pedro Guerrero,7,1985,33
Mike Schmidt,7,1985,33
Gorman Thomas,9,1985,32
Gary Carter,9,1985,32
Tony Armas,1,1984,43
Dale Murphy,2,1984,36
Mike Schmidt,2,1984,36
Dave Kingman,4,1984,35
Dwayne Murphy,5,1984,33
Lance Parrish,5,1984,33
Andre Thornton,5,1984,33
Tom Brunansky,8,1984,32
Ron Kittle,8,1984,32
Dwight Evans,8,1984,32
Mike Schmidt,1,1983,40
Jim Rice,2,1983,39
Tony Armas,3,1983,36
Dale Murphy,3,1983,36
Ron Kittle,5,1983,35
Eddie Murray,6,1983,33
Greg Luzinski,7,1983,32
Pedro Guerrero,7,1983,32
Andre Dawson,7,1983,32
Dave Winfield,7,1983,32
Reggie Jackson,1,1982,39
Gorman Thomas,1,1982,39
Dave Kingman,3,1982,37
Dave Winfield,3,1982,37
Dale Murphy,5,1982,36
Mike Schmidt,6,1982,35
Ben Oglivie,7,1982,34
Eddie Murray,8,1982,32
Bob Horner,8,1982,32
Dwight Evans,8,1982,32
Andre Thornton,8,1982,32
Lance Parrish,8,1982,32
Cecil Cooper,8,1982,32
Pedro Guerrero,8,1982,32
Mike Schmidt,1,1981,31
Andre Dawson,2,1981,24
George Foster,3,1981,22
Bobby Grich,3,1981,22
Tony Armas,3,1981,22
Dave Kingman,3,1981,22
Dwight Evans,3,1981,22
Eddie Murray,3,1981,22
Greg Luzinski,9,1981,21
Gorman Thomas,9,1981,21
Mike Schmidt,1,1980,48
Ben Oglivie,2,1980,41
Reggie Jackson,2,1980,41
Gorman Thomas,4,1980,38
Bob Horner,5,1980,35
Tony Armas,5,1980,35
Dale Murphy,7,1980,33
Eddie Murray,8,1980,32
John Mayberry,9,1980,30
Gary Carter,10,1980,29
Dusty Baker,10,1980,29
Dave Kingman,1,1979,48
Gorman Thomas,2,1979,45
Mike Schmidt,2,1979,45
Fred Lynn,4,1979,39
Jim Rice,4,1979,39
Don Baylor,6,1979,36
Ken Singleton,7,1979,35
Dave Winfield,8,1979,34
Bob Horner,9,1979,33
Willie Stargell,10,1979,32
Jim Rice,1,1978,46
George Foster,2,1978,40
Greg Luzinski,3,1978,35
Larry Hisle,4,1978,34
Don Baylor,4,1978,34
Andre Thornton,6,1978,33
Gorman Thomas,7,1978,32
Bobby Bonds,8,1978,31
Rico Carty,8,1978,31
Dave Parker,10,1978,30
George Foster,1,1977,52
Jeff Burroughs,2,1977,41
Greg Luzinski,3,1977,39
Jim Rice,3,1977,39
Mike Schmidt,5,1977,38
Bobby Bonds,6,1977,37
Graig Nettles,6,1977,37
George Scott,8,1977,33
Steve Garvey,8,1977,33
Reggie Jackson,10,1977,32
Reggie Smith,10,1977,32
Mike Schmidt,1,1976,38
Dave Kingman,2,1976,37
Graig Nettles,3,1976,32
Rick Monday,3,1976,32
George Foster,5,1976,29
Joe Morgan,6,1976,27
Sal Bando,6,1976,27
Reggie Jackson,6,1976,27
Lee May,9,1976,25
Jim Rice,9,1976,25
George Hendrick,9,1976,25
Mike Schmidt,1,1975,38
Reggie Jackson,2,1975,36
Dave Kingman,2,1975,36
George Scott,2,1975,36
John Mayberry,5,1975,34
Greg Luzinski,5,1975,34
Bobby Bonds,7,1975,32
Jeff Burroughs,8,1975,29
Gene Tenace,8,1975,29
Johnny Bench,10,1975,28
Mike Schmidt,1,1974,36
Johnny Bench,2,1974,33
Dick Allen,3,1974,32
Jim Wynn,3,1974,32
Reggie Jackson,5,1974,29
Tony Perez,6,1974,28
Gene Tenace,7,1974,26
Cesar Cedeno,7,1974,26
Darrell Evans,9,1974,25
Bobby Darwin,9,1974,25
Jeff Burroughs,9,1974,25
Willie Stargell,9,1974,25
Willie Stargell,1,1973,44
Davey Johnson,2,1973,43
Darrell Evans,3,1973,41
Hank Aaron,4,1973,40
Bobby Bonds,5,1973,39
Reggie Jackson,6,1973,32
Frank Robinson,7,1973,30
Jeff Burroughs,7,1973,30
Greg Luzinski,9,1973,29
Sal Bando,9,1973,29
Willie McCovey,9,1973,29
Johnny Bench,1,1972,40
Nate Colbert,2,1972,38
Billy Williams,3,1972,37
Dick Allen,3,1972,37
Hank Aaron,5,1972,34
Bobby Murcer,6,1972,33
Willie Stargell,6,1972,33
Lee May,8,1972,29
Dave Kingman,8,1972,29
Earl Williams,10,1972,28
Willie Stargell,1,1971,48
Hank Aaron,2,1971,47
Lee May,3,1971,39
Deron Johnson,4,1971,34
Bobby Bonds,5,1971,33
Earl Williams,5,1971,33
Bill Melton,5,1971,33
Norm Cash,8,1971,32
Reggie Jackson,8,1971,32
Reggie Smith,10,1971,30
Willie Montanez,10,1971,30
Johnny Bench,1,1970,45
Frank Howard,2,1970,44
Billy Williams,3,1970,42
Harmon Killebrew,4,1970,41
Tony Perez,5,1970,40
Carl Yastrzemski,5,1970,40
Willie McCovey,7,1970,39
Hank Aaron,8,1970,38
Nate Colbert,8,1970,38
Tony Conigliaro,10,1970,36
Harmon Killebrew,1,1969,49
Frank Howard,2,1969,48
Reggie Jackson,3,1969,47
Willie McCovey,4,1969,45
Hank Aaron,5,1969,44
Carl Yastrzemski,6,1969,40
Rico Petrocelli,6,1969,40
Lee May,8,1969,38
Boog Powell,9,1969,37
Tony Perez,9,1969,37
Frank Howard,1,1968,44
Willie McCovey,2,1968,36
Willie Horton,2,1968,36
Ken Harrelson,4,1968,35
Dick Allen,5,1968,33
Ernie Banks,6,1968,32
Billy Williams,7,1968,30
Reggie Jackson,8,1968,29
Hank Aaron,8,1968,29
Ron Santo,10,1968,26
Jim Wynn,10,1968,26
Carl Yastrzemski,1,1967,44
Harmon Killebrew,1,1967,44
Hank Aaron,3,1967,39
Jim Wynn,4,1967,37
Frank Howard,5,1967,36
Willie McCovey,6,1967,31
Ron Santo,6,1967,31
Frank Robinson,8,1967,30
Jim Ray Hart,9,1967,29
Billy Williams,10,1967,28
Frank Robinson,1,1966,49
Hank Aaron,2,1966,44
Dick Allen,3,1966,40
Harmon Killebrew,4,1966,39
Willie Mays,5,1966,37
Joe Torre,6,1966,36
Willie McCovey,6,1966,36
Boog Powell,8,1966,34
Jim Ray Hart,9,1966,33
Willie Stargell,9,1966,33
Willie Mays,1,1965,52
Willie McCovey,2,1965,39
Billy Williams,3,1965,34
Ron Santo,4,1965,33
Frank Robinson,4,1965,33
Hank Aaron,6,1965,32
Tony Conigliaro,6,1965,32
Deron Johnson,6,1965,32
Johnny Callison,6,1965,32
Eddie Mathews,6,1965,32
Harmon Killebrew,1,1964,49
Willie Mays,2,1964,47
Boog Powell,3,1964,39
Mickey Mantle,4,1964,35
Rocky Colavito,5,1964,34
Dick Stuart,6,1964,33
Billy Williams,6,1964,33
Bob Allison,8,1964,32
Tony Oliva,8,1964,32
Leon Wagner,10,1964,31
Orlando Cepeda,10,1964,31
Johnny Callison,10,1964,31
Jim Ray Hart,10,1964,31
Harmon Killebrew,1,1963,45
Willie McCovey,2,1963,44
Hank Aaron,2,1963,44
Dick Stuart,4,1963,42
Willie Mays,5,1963,38
Bob Allison,6,1963,35
Orlando Cepeda,7,1963,34
Jimmie Hall,8,1963,33
Frank Howard,9,1963,28
Elston Howard,9,1963,28
Willie Mays,1,1962,49
Harmon Killebrew,2,1962,48
Hank Aaron,3,1962,45
Frank Robinson,4,1962,39
Norm Cash,4,1962,39
Rocky Colavito,6,1962,37
Leon Wagner,6,1962,37
Ernie Banks,6,1962,37
Orlando Cepeda,9,1962,35
Frank Thomas,10,1962,34
Roger Maris,1,1961,61
Mickey Mantle,2,1961,54
Jim Gentile,3,1961,46
Harmon Killebrew,3,1961,46
Orlando Cepeda,3,1961,46
Rocky Colavito,6,1961,45
Norm Cash,7,1961,41
Willie Mays,8,1961,40
Frank Robinson,9,1961,37
Joe Adcock,10,1961,35
Dick Stuart,10,1961,35
Ernie Banks,1,1960,41
Mickey Mantle,2,1960,40
Hank Aaron,2,1960,40
Eddie Mathews,4,1960,39
Roger Maris,4,1960,39
Jim Lemon,6,1960,38
Rocky Colavito,7,1960,35
Ken Boyer,8,1960,32
Harmon Killebrew,9,1960,31
Frank Robinson,9,1960,31
Eddie Mathews,1,1959,46
Ernie Banks,2,1959,45
Rocky Colavito,3,1959,42
Harmon Killebrew,3,1959,42
Hank Aaron,5,1959,39
Frank Robinson,6,1959,36
Willie Mays,7,1959,34
Jim Lemon,8,1959,33
Charlie Maxwell,9,1959,31
Mickey Mantle,9,1959,31
Ernie Banks,1,1958,47
Mickey Mantle,2,1958,42
Rocky Colavito,3,1958,41
Roy Sievers,4,1958,39
Bob Cerv,5,1958,38
Jackie Jensen,6,1958,35
Frank Thomas,6,1958,35
Frank Robinson,8,1958,31
Eddie Mathews,8,1958,31
Hank Aaron,10,1958,30
Gus Triandos,10,1958,30
Hank Aaron,1,1957,44
Ernie Banks,2,1957,43
Roy Sievers,3,1957,42
Duke Snider,4,1957,40
Ted Williams,5,1957,38
Willie Mays,6,1957,35
Mickey Mantle,7,1957,34
Eddie Mathews,8,1957,32
George Crowe,9,1957,31
Stan Musial,10,1957,29
Frank Robinson,10,1957,29
Mickey Mantle,1,1956,52
Duke Snider,2,1956,43
Frank Robinson,3,1956,38
Joe Adcock,3,1956,38
Eddie Mathews,5,1956,37
Wally Post,6,1956,36
Willie Mays,6,1956,36
Ted Kluszewski,8,1956,35
Gil Hodges,9,1956,32
Vic Wertz,9,1956,32
Stan Lopata,9,1956,32
Willie Mays,1,1955,51
Ted Kluszewski,2,1955,47
Ernie Banks,3,1955,44
Duke Snider,4,1955,42
Eddie Mathews,5,1955,41
Wally Post,6,1955,40
Mickey Mantle,7,1955,37
Stan Musial,8,1955,33
Roy Campanella,9,1955,32
Gus Zernial,10,1955,30
Ted Kluszewski,1,1954,49
Gil Hodges,2,1954,42
Hank Sauer,3,1954,41
Willie Mays,3,1954,41
Duke Snider,5,1954,40
Eddie Mathews,5,1954,40
Stan Musial,7,1954,35
Larry Doby,8,1954,32
Ted Williams,9,1954,29
Jim Greengrass,10,1954,27
Mickey Mantle,10,1954,27
Eddie Mathews,1,1953,47
Al Rosen,2,1953,43
Gus Zernial,3,1953,42
Duke Snider,3,1953,42
Roy Campanella,5,1953,41
Ted Kluszewski,6,1953,40
Ralph Kiner,7,1953,35
Gil Hodges,8,1953,31
Stan Musial,9,1953,30
Frank Thomas,9,1953,30
Gus Bell,9,1953,30
Hank Sauer,1,1952,37
Ralph Kiner,1,1952,37
Larry Doby,3,1952,32
Gil Hodges,3,1952,32
Luke Easter,5,1952,31
Yogi Berra,6,1952,30
Gus Zernial,7,1952,29
Walt Dropo,7,1952,29
Al Rosen,9,1952,28
Eddie Mathews,10,1952,25
Sid Gordon,10,1952,25
Ralph Kiner,1,1951,42
Gil Hodges,2,1951,40
Gus Zernial,3,1951,33
Roy Campanella,3,1951,33
Stan Musial,5,1951,32
Bobby Thomson,5,1951,32
Hank Sauer,7,1951,30
Ted Williams,7,1951,30
Andy Pafko,7,1951,30
Duke Snider,10,1951,29
Eddie Robinson,10,1951,29
Sid Gordon,10,1951,29
Ralph Kiner,1,1950,47
Al Rosen,2,1950,37
Andy Pafko,3,1950,36
Walt Dropo,4,1950,34
Gil Hodges,5,1950,32
Joe DiMaggio,5,1950,32
Hank Sauer,5,1950,32
Del Ennis,8,1950,31
Roy Campanella,8,1950,31
Duke Snider,8,1950,31
Ralph Kiner,1,1949,54
Ted Williams,2,1949,43
Vern Stephens,3,1949,39
Stan Musial,4,1949,36
Hank Sauer,5,1949,31
Bobby Thomson,6,1949,27
Sid Gordon,7,1949,26
Del Ennis,8,1949,25
Larry Doby,9,1949,24
Jack Graham,9,1949,24
Sam Chapman,9,1949,24
Tommy Henrich,9,1949,24
Andy Seminick,9,1949,24
Ralph Kiner,1,1948,40
Johnny Mize,1,1948,40
Stan Musial,3,1948,39
Joe DiMaggio,3,1948,39
Hank Sauer,5,1948,35
Joe Gordon,6,1948,32
Ken Keltner,7,1948,31
Del Ennis,8,1948,30
Sid Gordon,8,1948,30
Vern Stephens,10,1948,29
Johnny Mize,1,1947,51
Ralph Kiner,1,1947,51
Willard Marshall,3,1947,36
Walker Cooper,4,1947,35
Ted Williams,5,1947,32
Joe Gordon,6,1947,29
Bobby Thomson,6,1947,29
Jeff Heath,8,1947,27
Whitey Kurowski,8,1947,27
Bill Nicholson,10,1947,26
Hank Greenberg,1,1946,44
Ted Williams,2,1946,38
Charlie Keller,3,1946,30
Pat Seerey,4,1946,26
Joe DiMaggio,5,1946,25
Ralph Kiner,6,1946,23
Johnny Mize,7,1946,22
Sam Chapman,8,1946,20
Tommy Henrich,9,1946,19
Enos Slaughter,10,1946,18
Bobby Doerr,10,1946,18
Tommy Holmes,1,1945,28
Chuck Workman,2,1945,25
Vern Stephens,3,1945,24
Buster Adams,4,1945,22
Mel Ott,5,1945,21
Whitey Kurowski,5,1945,21
Ernie Lombardi,7,1945,19
Vince DiMaggio,7,1945,19
Rudy York,9,1945,18
Danny Gardella,9,1945,18
Nick Etten,9,1945,18
Roy Cullenbine,9,1945,18
Bill Nicholson,1,1944,33
Mel Ott,2,1944,26
Ron Northey,3,1944,22
Nick Etten,3,1944,22
Whitey Kurowski,5,1944,20
Vern Stephens,5,1944,20
Frank McCormick,5,1944,20
Rudy York,8,1944,18
Stan Spence,8,1944,18
Johnny Lindell,8,1944,18
Rudy York,1,1943,34
Charlie Keller,2,1943,31
Bill Nicholson,3,1943,29
Vern Stephens,4,1943,22
Jeff Heath,5,1943,18
Mel Ott,5,1943,18
Joe Gordon,7,1943,17
Chet Laabs,7,1943,17
Ron Northey,9,1943,16
Bobby Doerr,9,1943,16
Ted Williams,1,1942,36
Mel Ott,2,1942,30
Chet Laabs,3,1942,27
Johnny Mize,4,1942,26
Charlie Keller,4,1942,26
Dolph Camilli,4,1942,26
Rudy York,7,1942,21
Bill Nicholson,7,1942,21
Joe DiMaggio,7,1942,21
Joe Gordon,10,1942,18
Ted Williams,1,1941,37
Dolph Camilli,2,1941,34
Charlie Keller,3,1941,33
Tommy Henrich,4,1941,31
Joe DiMaggio,5,1941,30
Rudy York,6,1941,27
Mel Ott,6,1941,27
Bill Nicholson,8,1941,26
Babe Young,9,1941,25
