name,mass,radius,habital_zone_distance
Kepler-107 c,6.88,1.8,-2.4
Kepler-356 c,6.88,1.8,-2.36
Kepler-148 b,6.88,1.8,-2.35
Kepler-140 c,6.88,1.8,-1.92
Kepler-50 c,6.99,2.8,-2.42
GJ 3634 b,6.99,1.81,-1.9
Kepler-114 b,7,1.18,-2.1
Kepler-331 b,7.04,1.81,-1.92
Kepler-283 c,7.04,1.81,-0.56
HD 40307 g,7.09,1.82,-0.21
Kepler-207 d,7.12,3.3,-2.41
Kepler-110 b,7.21,1.83,-2.32
GJ 163 c,7.26,1.83,-0.95
Kepler-264 b,7.27,3.33,-2.23
Kepler-275 d,7.27,3.33,-2.23
Kepler-11 d,7.3,3.12,-2.18
Kepler-357 b,7.38,1.84,-2.21
Kepler-274 c,7.38,1.84,-2.13
Kepler-354 b,7.38,1.84,-2.13
Kepler-331 c,7.38,1.84,-1.69
Kepler-225 c,7.38,1.84,-1.36
CoRoT-7 b,7.42,1.67,-2.38
Kepler-28 c,7.49,3.36,-2.03
Kepler-217 c,7.56,1.85,-2.43
Kepler-350 b,7.56,1.85,-2.39
Kepler-341 d,7.56,1.85,-2.17
Kepler-202 c,7.56,1.85,-1.9
Kepler-340 c,7.57,3.37,-2.41
Kepler-143 c,7.57,3.37,-2.23
HD 181433 b,7.57,1.85,-2.13
Kepler-68 b,7.59,2.3,-2.38
HD 1461 b,7.6,1.85,-2.36
KOI-620.02 b,7.6,9.69,-1.39
Kepler-50 b,7.63,2.24,-2.43
Kepler-335 b,7.65,3.38,-2.41
Kepler-275 c,7.65,3.38,-2.35
Kepler-268 c,7.65,3.38,-1.94
Kepler-310 c,7.65,3.38,-1.85
Kepler-139 c,7.65,3.38,-1.53
Kepler-265 b,7.73,1.86,-2.36
Kepler-299 d,7.73,1.86,-2.22
Kepler-191 c,7.73,1.86,-2.06
Kepler-159 c,7.81,3.4,-1.46
HD 97658 b,7.86,2.34,-2.16
Kepler-116 b,7.89,3.42,-2.43
Kepler-299 e,7.92,1.87,-2.02
Kepler-48 d,7.93,2.04,-1.82
Kepler-182 c,7.97,3.43,-2.29
Kepler-357 d,7.97,3.43,-1.69
Kepler-48 b,8.05,1.88,-2.27
Kepler-36 c,8.08,3.68,-2.34
Kepler-291 c,8.1,1.88,-2.38
KOI-1781 b,8.1,1.88,-2.27
Kepler-137 c,8.1,1.88,-2.04
Kepler-107 e,8.13,3.45,-2.32
Kepler-371 b,8.29,1.89,-2.06
Kepler-171 d,8.29,1.89,-1.92
Kepler-399 d,8.29,1.89,-1.64
GJ 180 b,8.3,1.89,-0.87
55 Cnc e,8.32,1.99,-2.37
HD 93385 b,8.36,1.9,-2.32
CoRoT-7 c,8.39,1.9,-2.31
Kepler-11 e,8.4,4.53,-2.11
GJ 176 b,8.43,1.9,-1.72
Kepler-20 b,8.45,1.9,-2.34
Kepler-23 b,8.48,1.9,-2.38
Kepler-349 b,8.48,1.9,-2.37
Kepler-370 c,8.48,1.9,-2.18
Kepler-196 b,8.48,1.9,-1.99
Kepler-158 c,8.48,1.9,-1.66
Kepler-234 c,8.54,3.51,-2.4
BD-061339 b,8.58,1.91,-2.23
HD 41248 c,8.62,1.91,-2.03
Kepler-359 b,8.7,3.53,-2.24
KIC-8552719 b,8.7,3.53,-1.84
GJ 682 c,8.7,1.92,0.2
Kepler-391 c,8.79,3.54,-2.27
Kepler-298 c,8.88,1.93,-1.67
Kepler-329 c,8.88,1.93,-1.65
Kepler-231 c,8.88,1.93,-1.4
HD 96700 b,9.03,1.93,-2.37
Kepler-219 c,9.05,3.57,-2.26
Kepler-104 d,9.05,3.57,-2.09
Kepler-83 d,9.09,1.94,-2
Kepler-37 d,9.1,1.94,-1.86
Kepler-29 b,9.13,3.58,-2.29
Kepler-278 c,9.13,3.58,-2.15
Kepler-28 b,9.13,3.58,-2.1
Kepler-26 b,9.13,3.58,-1.93
Kepler-26 c,9.13,3.58,-1.83
Kepler-83 c,9.15,1.94,-1.56
Kepler-119 b,9.22,3.6,-2.37
Kepler-148 c,9.22,3.6,-2.29
HD 7924 b,9.22,1.94,-2.24
HD 134606 b,9.28,1.95,-2.3
Kepler-330 c,9.29,1.95,-2.03
Kepler-62 d,9.29,1.95,-1.9
Kepler-52 d,9.29,1.95,-1.15
Kepler-160 c,9.31,3.61,-2.25
Kepler-258 c,9.31,3.61,-1.87
Kepler-279 b,9.4,3.62,-2.42
Kepler-342 c,9.51,1.96,-2.29
Kepler-349 c,9.51,1.96,-2.28
Kepler-118 b,9.51,1.96,-2.27
Kepler-174 b,9.51,1.96,-1.97
Kepler-298 b,9.51,1.96,-1.94
HD 40307 d,9.51,1.96,-1.9
Kepler-89 c,9.54,4.32,-2.41
Gl 649 c,9.54,1.96,-1.89
HD 136352 d,9.54,1.96,-1.73
Kepler-347 b,9.72,1.97,-2.31
Kepler-184 c,9.72,1.97,-2.16
Kepler-224 e,9.72,1.97,-1.95
Kepler-11 g,9.79,3.67,-1.62
Kepler-318 c,9.85,3.67,-2.3
GJ 422 b,9.9,1.98,-0.98
Kepler-150 c,9.94,3.68,-2.29
Kepler-222 d,9.94,3.68,-2
Kepler-273 c,9.95,1.98,-2.28
Kepler-267 b,9.95,1.98,-2.1
Kepler-234 b,10.03,3.7,-2.46
Kepler-32 c,10.03,3.7,-1.68
HD 189567 b,10.05,3.7,-2.28
HD 93385 c,10.11,3.71,-2.09
Kepler-146 b,10.12,3.71,-2.18
Kepler-142 b,10.17,1.99,-2.43
Kepler-134 b,10.17,1.99,-2.41
Kepler-136 c,10.17,1.99,-2.34
Kepler-223 c,10.17,1.99,-2.32
Kepler-181 c,10.17,1.99,-2.28
Kepler-179 c,10.17,1.99,-2.24
Kepler-242 c,10.17,1.99,-2.08
Kepler-341 e,10.17,1.99,-2.06
Kepler-243 c,10.17,1.99,-2.03
Kepler-261 c,10.17,1.99,-1.94
Kepler-236 c,10.17,1.99,-1.3
GJ 160.2 b,10.2,3.72,-2.13
HD 21693 b,10.24,3.72,-2.12
HD 13808 b,10.33,3.73,-2.1
Kepler-270 b,10.4,2,-2.37
Kepler-280 c,10.4,2,-2.35
Kepler-260 b,10.4,2,-2.22
Kepler-89 b,10.49,1.71,-2.46
HD 69830 b,10.49,3.75,-2.24
mu Ara c,10.56,3.76,-2.32
Kepler-315 b,10.59,3.76,-1.72
GJ 163 b,10.62,3.77,-1.61
Kepler-343 c,10.64,2.02,-2.25
Kepler-59 c,10.64,2.02,-2.24
Kepler-185 c,10.64,2.02,-2.02
Kepler-195 b,10.88,2.03,-2.21
KIC-9662267 b,10.98,3.81,0.12
Kepler-365 b,11.12,2.04,-2.33
Kepler-230 c,11.12,2.04,-1.5
HD 134060 b,11.16,3.83,-2.43
Kepler-210 b,11.17,3.83,-2.25
Kepler-232 c,11.18,3.83,-2.28
Kepler-293 c,11.18,3.83,-1.9
Kepler-229 d,11.27,3.84,-1.7
Kepler-305 b,11.32,3.61,-2.21
Kepler-136 b,11.37,2.05,-2.38
Kepler-337 c,11.37,2.05,-2.36
Kepler-363 d,11.37,2.05,-2.31
Kepler-244 c,11.37,2.05,-2.23
Kepler-161 c,11.37,2.05,-2.2
Kepler-235 d,11.37,2.05,-1.63
HD 136352 c,11.38,3.85,-2.17
HIP 57274 b,11.45,3.86,-2.07
HD 13808 c,11.45,3.86,-1.69
GJ 676A e,11.45,3.86,-1.35
Kepler-254 b,11.47,3.86,-2.36
HD 31527 b,11.54,3.87,-2.28
Kepler-368 c,11.57,3.88,-2.07
Kepler-183 b,11.62,2.06,-2.36
Kepler-377 c,11.62,2.06,-2.21
Kepler-266 c,11.68,3.89,-1.64
HD 10180 d,11.75,3.89,-2.29
GJ 674 b,11.76,3.9,-1.87
Kepler-30 b,11.98,3.92,-2.05
HD 20003 b,12.02,3.92,-2.28
HD 20781 b,12.05,3.93,-2
HD 69830 c,12.08,3.93,-1.98
Kepler-372 c,12.15,2.08,-2.33
Kepler-317 b,12.15,2.08,-2.31
Kepler-405 b,12.15,2.08,-2.27
Kepler-237 c,12.15,2.08,-2.13
Kepler-155 b,12.15,2.08,-2.08
Kepler-151 c,12.15,2.08,-2.03
HD 134606 c,12.15,3.94,-1.94
Kepler-247 d,12.19,3.94,-1.98
Kepler-178 d,12.19,3.94,-1.72
HD 41248 b,12.3,3.95,-2.12
Kepler-149 d,12.3,3.95,-1.13
Kepler-360 c,12.42,2.09,-2.38
Kepler-336 c,12.42,2.09,-2.35
HD 45184 b,12.72,4,-2.38
HD 96700 c,12.72,4,-1.81
Kepler-82 b,12.75,4,-2.09
Kepler-359 d,12.83,4.01,-1.92
HD 4308 b,12.88,4.01,-2.2
Kepler-308 b,12.97,2.12,-2.31
Kepler-53 d,12.97,2.12,-2.29
Kepler-161 b,12.97,2.12,-2.24
Kepler-158 b,12.97,2.12,-1.86
GJ 27.1 b,13,4.03,-1.68
Kepler-89 e,13.04,6.16,-2.19
Kepler-228 d,13.05,4.03,-2.32
Kepler-33 e,13.05,4.03,-2.27
Kepler-27 b,13.05,4.03,-2
KIC-11152511 b,13.05,4.03,-1.64
HD 10180 c,13.1,4.04,-2.39
HD 51608 b,13.13,4.04,-2.17
Kepler-200 b,13.26,2.13,-2.29
Kepler-214 c,13.26,2.13,-2.26
Kepler-302 b,13.26,4.05,-2.16
Kepler-258 b,13.26,4.05,-2.11
Kepler-267 c,13.26,2.13,-1.98
Kepler-283 b,13.26,2.13,-1.89
Kepler-52 b,13.26,2.13,-1.89
Kepler-54 b,13.26,2.13,-1.77
HD 125595 b,13.35,4.06,-2.04
Kepler-278 b,13.37,4.07,-2.22
Kepler-248 c,13.37,4.07,-2.07
HD 20003 c,13.42,4.07,-2.04
Kepler-247 c,13.6,4.09,-2.14
Kepler-256 c,13.85,2.15,-2.38
Kepler-254 c,13.85,2.15,-2.28
Kepler-401 c,13.85,2.15,-2.15
Kepler-364 c,13.85,2.15,-2.07
Kepler-296 c,13.85,2.15,-2.01
Kepler-120 b,13.85,2.15,-1.95
Kepler-252 c,13.85,2.15,-1.85
Kepler-61 b,13.85,2.15,-0.86
GJ 3470 b,13.9,4.19,-1.99
Kepler-276 d,13.99,2.8,-1.95
Kepler-291 b,14.15,2.16,-2.42
Kepler-308 c,14.15,2.16,-2.24
Kepler-142 d,14.15,2.16,-2.1
Kepler-32 b,14.16,4.14,-1.94
Kepler-315 c,14.16,4.14,-0.99
BD-082823 b,14.31,4.16,-2.16
Kepler-276 c,14.31,2.9,-2.08
Kepler-304 c,14.46,2.17,-2.15
Kepler-261 b,14.46,2.17,-2.14
Kepler-250 d,14.46,2.17,-2.05
Kepler-245 c,14.46,2.17,-2.04
Kepler-48 c,14.62,2.71,-2.19
Gliese 876 e,14.63,4.19,1.9
Kepler-85 b,14.78,1.99,-2.27
Kepler-174 d,14.78,2.18,0.33
Kepler-149 b,14.86,4.21,-2.01
Kepler-79 c,15.01,3.73,-2.25
Kepler-122 d,15.1,2.2,-2.27
Kepler-229 b,15.1,2.2,-2.2
Kepler-240 c,15.1,2.2,-2.14
Kepler-169 e,15.1,2.2,-2.06
Kepler-84 f,15.1,2.2,-2.05
KOI-82 b,15.1,2.2,-1.98
Kepler-84 b,15.26,2.2,-2.35
Kepler-350 d,15.26,2.8,-2.29
Kepler-31 b,15.34,4.26,-2.31
Kepler-31 c,15.34,4.26,-2.17
Kepler-230 b,15.34,4.26,-1.98
Kepler-110 c,15.43,2.21,-2.17
Kepler-20 c,15.71,3.06,-2.24
Kepler-19 b,15.76,2.22,-2.24
Kepler-235 e,15.76,2.22,-1.13
HD 20781 c,15.77,4.3,-1.49
HD 31527 c,15.83,4.3,-2.03
Kepler-359 c,15.83,4.3,-2.03
Gl 581 b,15.9,4.31,-1.66
HD 102365 b,15.9,4.31,-1.51
Kepler-217 b,16.11,2.23,-2.46
Kepler-292 d,16.11,2.23,-2.24
Kepler-235 b,16.11,2.23,-2.1
Kepler-165 c,16.11,2.23,-2.09
Kepler-18 d,16.31,6.96,-2.2
Kepler-60 b,16.46,2.24,-2.4
Kepler-157 c,16.46,2.24,-2.27
Kepler-69 b,16.46,2.24,-2.26
Kepler-57 b,16.46,2.24,-2.22
Kepler-284 b,16.46,2.24,-2.2
Kepler-196 c,16.46,2.24,-1.69
Kepler-55 c,16.46,2.24,-1.3
Kepler-155 c,16.46,2.24,-1.25
HD 31527 d,16.5,4.36,-1.12
Kepler-342 b,16.81,2.25,-2.36
Kepler-172 d,16.81,2.25,-2.22
Kepler-272 d,16.81,2.25,-2.21
Kepler-290 b,16.81,2.25,-2.06
Kepler-300 c,16.81,2.25,-2.02
Kepler-396 c,16.85,5.26,-1.96
HD 192310 b,16.85,4.39,-1.33
HD 109271 b,17.17,4.42,-2.37
HD 204313 c,17.17,4.42,-2.11
Kepler-209 b,17.18,2.26,-2.17
Kepler-163 c,17.18,2.26,-2.15
Kepler-154 b,17.18,2.26,-2.07
Kepler-18 c,17.21,5.48,-2.28
Kepler-226 c,17.55,2.27,-2.3
Kepler-183 c,17.55,2.27,-2.28
Kepler-166 b,17.55,2.27,-2.23
Kepler-250 c,17.55,2.27,-2.21
Kepler-121 c,17.55,2.27,-1.74
Kepler-296 d,17.55,2.27,-1.64
Kepler-306 e,17.55,2.27,-1.62
Kepler-267 d,17.55,2.27,-1.47
Kepler-238 f,17.8,2,-1.77
Kepler-33 f,17.89,4.48,-2.23
KIC-9704149 b,17.89,4.48,1.26
Kepler-379 c,17.93,2.28,-2.05
Kepler-319 d,17.93,2.28,-2.01
HD 51608 c,17.96,4.49,-1.58
HD 190360 c,18.12,4.5,-2.24
HD 90156 b,18.12,4.5,-2.14
61 Vir c,18.22,4.51,-1.97
Kepler-116 c,18.31,2.3,-2.37
Kepler-156 b,18.31,2.3,-2.24
Kepler-224 d,18.31,2.3,-2.08
HD 125612 c,18.44,4.53,-2.4
HD 69830 d,18.44,4.53,-0.91
HAT-P-26 b,18.61,6.32,-2.25
Kepler-244 d,18.71,2.31,-2.09
Kepler-85 c,18.76,2.21,-2.22
Kepler-31 d,18.84,4.56,-1.98
Kepler-10 c,19.1,2.32,-1.99
Kepler-321 c,19.11,2.32,-2.29
Kepler-165 b,19.11,2.32,-2.2
Kepler-47(AB) c,19.26,4.59,-0.37
Kepler-287 b,19.52,2.33,-2.21
Kepler-239 b,19.52,2.33,-2.07
Kepler-241 b,19.52,2.33,-1.99
Kepler-222 c,19.83,4.64,-2.21
Kepler-122 b,19.94,2.34,-2.41
Kepler-275 b,19.94,2.34,-2.39
Kepler-213 c,19.94,2.34,-2.37
Kepler-171 b,19.94,2.34,-2.34
Kepler-338 c,19.94,2.34,-2.31
Kepler-121 b,19.94,2.34,-2.3
Kepler-246 b,19.94,2.34,-2.27
Kepler-83 b,19.94,2.34,-1.84
Kepler-405 c,20.11,4.66,-2.07
Kepler-216 b,20.36,2.35,-2.4
Kepler-172 b,20.36,2.35,-2.37
Kepler-24 b,20.36,2.35,-2.33
Kepler-256 e,20.36,2.35,-2.3
Kepler-306 c,20.36,2.35,-2.16
Kepler-80 b,20.36,2.35,-2.07
Kepler-292 f,20.36,2.35,-2.05
Kepler-22 b,20.36,2.35,-0.63
HD 21693 c,20.58,4.69,-1.83
Kepler-318 b,20.7,4.7,-2.38
Kepler-129 b,20.8,2.36,-2.32
Kepler-184 b,20.8,2.36,-2.27
Kepler-112 b,20.8,2.36,-2.26
Kepler-336 d,20.8,2.36,-2.26
Kepler-125 b,20.8,2.36,-1.97
HD 219828 b,20.98,4.73,-2.43
Kepler-159 b,21.25,2.37,-2.01
Kepler-189 c,21.25,2.37,-2
Kepler-166 c,21.25,2.37,-1.87
HD 10180 g,21.41,4.76,-0.25
Kepler-193 b,21.7,2.39,-2.38
Kepler-238 c,21.7,2.39,-2.3
Kepler-215 d,21.7,2.39,-2.12
Kepler-152 c,21.7,2.39,-1.24
HD 16417 b,21.94,4.8,-2.33
Kepler-328 b,21.94,2.31,-1.95
Kepler-79 d,22.01,7.17,-2.1
Kepler-223 e,22.16,2.4,-2.22
Kepler-112 c,22.16,2.4,-2.02
Kepler-194 d,22.16,2.4,-2.02
Kepler-56 b,22.26,6.5,-2.31
Kepler-84 c,22.35,2.4,-2.31
Kepler-343 b,22.64,2.41,-2.36
Kepler-143 b,22.64,2.41,-2.3
Kepler-26 e,22.64,2.41,-1.29
HD 47186 b,22.79,4.86,-2.37
61 Vir d,22.89,4.87,-1.43
Kepler-210 c,23.14,4.88,-2.16
GJ 436 b,23.43,4.09,-2.01
Kepler-173 c,23.62,2.43,-2.36
Kepler-147 c,23.62,2.43,-2.23
Kepler-233 b,23.62,2.43,-2.21
Kepler-289 b,23.62,2.43,-2.15
Kepler-229 c,23.62,4.92,-2.03
Kepler-27 c,23.78,4.93,-1.74
HD 192310 c,23.85,4.93,1.46
HD 10180 f,23.91,4.94,-1.71
Kepler-257 d,24.11,4.95,-2.06
Kepler-338 b,24.12,2.44,-2.37
HD 109271 c,24.16,4.95,-2.21
Kepler-53 c,24.16,3.14,-2
Kepler-81 c,24.53,2.45,-1.87
Kepler-201 b,24.64,2.45,-2.25
Kepler-243 b,24.64,2.45,-2.25
Kepler-164 d,24.64,2.45,-2.18
Kepler-397 b,24.64,2.45,-2.01
HD 10180 e,25.11,5.02,-2.06
HD 11964 c,25.12,5.02,-2.19
Kepler-203 c,25.16,2.46,-2.38
Kepler-60 c,25.16,2.46,-2.38
Kepler-269 b,25.16,2.46,-2.36
Kepler-82 e,25.16,2.46,-2.33
Kepler-306 d,25.16,2.46,-1.98
Kepler-198 c,25.16,2.46,-1.88
Kepler-263 c,25.16,2.46,-1.74
Kepler-310 d,25.16,2.46,-1.61
Kepler-55 b,25.16,2.46,-1.54
HD 179079 b,25.44,5.04,-2.32
Kepler-266 b,25.7,2.48,-2.36
Kepler-256 d,25.7,2.48,-2.35
Kepler-4 b,26.21,4,-2.43
HAT-P-11 b,26.21,4.73,-2.18
Kepler-342 d,26.25,2.49,-2.23
Kepler-184 d,26.25,2.49,-2.07
Kepler-265 d,26.25,2.49,-2.07
Kepler-254 d,26.81,2.5,-2.21
Kepler-126 d,26.81,2.5,-1.94
Kepler-298 d,26.81,2.5,-0.85
Kepler-65 c,27.01,2.58,-2.44
Kepler-58 b,27.34,2.8,-2.31
Kepler-25 c,27.86,5.2,-2.38
HD 3651 c,28.61,5.24,-1.96
BD-061339 d,29.01,5.27,-0.39
Kepler-82 c,29.61,5.3,-1.88
Kepler-281 c,29.72,5.31,-1.99
Kepler-128 b,29.92,1.13,-2.35
HD 38858 b,30.55,5.36,-0.24
Kepler-33 d,30.87,5.38,-2.32
Kepler-9 c,31.01,10.69,-2.06
HD 103197 b,31.16,5.39,-1.7
Kepler-257 c,31.45,5.41,-2.26
Kepler-328 c,31.79,5.41,-1.67
GJ 229 b,32.01,5.44,2.15
HD 215456 b,32.11,5.45,-1.72
Kepler-128 c,33.07,1.13,-2.3
Kepler-145 b,34.34,2.65,-2.37
HD 99492 b,34.66,5.59,-2.03
HD 49674 b,36.56,5.69,-2.31
KIC-5094412 b,37.07,5.71,-0.28
HD 157172 b,38.15,5.77,-1.51
HD 134606 d,38.47,5.78,-0.42
Kepler-114 c,40.01,1.6,-2.02
Kepler-101 b,40.25,5.87,-2.39
Kepler-122 c,40.25,5.87,-2.34
Kepler-35(AB) b,40.31,8.15,-1.22
Kepler-58 c,41.33,2.91,-2.26
Kepler-279 d,41.33,3.1,-2.16
HD 85390 b,41.97,5.95,1.61
Kepler-9 b,45.12,11.09,-2.21
Kepler-63 b,45.39,6.1,-2.27
55 Cnc f,45.78,6.12,-0.53
Kepler-397 c,46.95,6.17,-1.05
HD 177830 c,47.69,6.2,-1.98
HD 134060 c,47.91,6.21,0.42
Kepler-89 d,52.14,11.2,-2.33
HD 150433 b,53.41,6.43,1.4
55 Cnc c,53.73,6.45,-1.83
BD-061339 c,54.05,6.46,-1.52
HD 65216 c,54.05,6.46,-1.17
Kepler-279 c,54.37,4.31,-2.26
HD 102117 b,54.69,6.48,-2.22
Kepler-297 c,55.96,6.53,-1.71
HD 117618 b,56.59,6.55,-2.21
HD 104067 b,59.14,6.65,-1.5
HD 45364 b,59.52,6.66,-0.81
Kepler-79 b,60.02,3.3,-2.36
Kepler-92 b,60.09,3.52,-2.3
Kepler-282 e,61.04,3.1,-2.01
HAT-P-18 b,62.62,11.09,-2.18
HD 76700 b,62.63,6.77,-2.4
HD 3651 b,63.59,6.8,-1.8
HD 117618 c,63.59,6.8,-0.98
HD 10180 h,64.42,6.83,2.91
Kepler-282 d,64.86,2.46,-2.16
Kepler-277 c,66.77,3.36,-2.31
HD 107148 b,66.77,6.9,-2.04
HD 218566 b,66.77,6.9,-0.4
HAT-P-12 b,66.92,10.69,-2.2
Kepler-413(AB) b,67.02,4.34,-1.16
KIC-5010054 b,68.05,6.94,-0.67
HD 16141 b,68.36,6.95,-1.73
CoRoT-8 b,68.62,6.37,-2.2
Kepler-34(AB)  b,69.92,8.55,-0.62
HD 88133 b,69.95,7,-2.39
Kepler-396 b,69.95,3.47,-1.67
HD 137388 b,70.9,7.03,-0.06
HD 126525 b,71.22,7.04,1.28
HD 168746 b,73.13,7.1,-2.34
MOA-2008-BLG-310-L b,73.13,7.1,2.96
Kepler-145 c,74.4,4.42,-2.29
HATS-5 b,75.35,10.21,-2.29
WASP-29 b,77.23,9.42,-2.23
HD 215456 c,78.21,7.25,1.53
HD 46375 b,79.17,7.27,-2.32
KIC-10255705 b,79.37,7.28,-0.6
Kepler-111 c,79.78,7.29,-1.25
HD 108147 b,82.98,7.38,-2.37
HAT-P-38 b,84.89,9.24,-2.3
CoRoT-25 b,85.84,12.1,-2.42
HD 113538 b,85.84,7.45,0.2
Kepler-277 b,89.02,2.92,-2.39
HD 109749 b,89.02,7.53,-2.37
WASP-39 b,89.02,14.22,-2.32
Kepler-25 d,89.93,7.56,-1.84
HD 7199 b,92.2,7.61,0.6
HD 82943 d,92.2,7.61,1.2
HAT-P-19 b,92.84,12.68,-2.25
Kepler-118 c,94.65,7.67,-2.13
HIP 57050 b,94.75,7.67,-0.28
WASP-21 b,95.38,13.55,-2.38
HD 101930 b,95.38,7.69,-1.61
WASP-20 b,99.52,16.34,-2.42
Kepler-117 b,100.48,7.81,-2.34
HD 33283 b,104.92,7.9,-2.26
BD-082823 c,104.92,7.9,-0.01
HD 215497 c,104.92,7.9,0.69
Kepler-16(AB) b,105.87,8.44,0.74
YBP1194 b,108.1,7.97,-2.34
HD 38283 b,108.1,7.97,-1.23
HD 52265 c,111.28,8.04,-2.06
HIP 12961 b,111.28,8.04,-1.61
HD 47186 c,111.47,8.04,2.25
KIC-6185331 b,112.61,8.06,-2.03
HD 149026 b,113.19,8.04,-2.47
HD 164922 b,114.46,8.1,2.63
Kepler-90 g,115.43,8.12,-1.37
HD 103774 b,116.68,8.14,-2.48
HD 93083 b,117.64,8.16,-1.04
HD 181720 b,117.64,8.16,-0.02
Kepler-108 c,118.32,8.18,-1.85
Kepler-46 c,119.55,8.2,-1.72
WASP-49 b,120.18,12.49,-2.38
WASP-63 b,120.82,16.02,-2.39
HD 63454 b,120.82,8.22,-2.24
Kepler-38(AB) b,120.82,4.37,-1.92
HD 126614 b,120.82,8.22,1.79
HD 6434 b,124,8.28,-2.01
KIC-6372194 b,124.32,8.29,-0.35
HAT-P-44 b,124.63,14.34,-2.31
HD 83443 b,127.18,8.34,-2.36
YBP1514 b,127.18,8.34,-2.35
HIP 57274 c,130.36,8.4,-1.65
HD 208487 b,131.31,8.41,-1.66
