Year/Month/Day,Recreation Visits
01-01-1986,24708
01-02-1986,29684
01-03-1986,20165
01-04-1986,21681
01-05-1986,147767
01-06-1986,427968
01-07-1986,663205
01-08-1986,614295
01-09-1986,295089
01-10-1986,94106
01-11-1986,6414
01-12-1986,18674
01-01-1987,27238
01-02-1987,32559
01-03-1987,12310
01-04-1987,31938
01-05-1987,185705
01-06-1987,447465
01-07-1987,685128
01-08-1987,626537
01-09-1987,361842
01-10-1987,122637
01-11-1987,19842
01-12-1987,19993
01-01-1988,25706
01-02-1988,35936
01-03-1988,18470
01-04-1988,22999
01-05-1988,175285
01-06-1988,442400
01-07-1988,636295
01-08-1988,440130
01-09-1988,176833
01-10-1988,170504
01-11-1988,18510
01-12-1988,19045
01-01-1989,24328
01-02-1989,30768
01-03-1989,22163
01-04-1989,25292
01-05-1989,216163
01-06-1989,467193
01-07-1989,696587
01-08-1989,608248
01-09-1989,403579
01-10-1989,123454
01-11-1989,6791
01-12-1989,19876
01-01-1990,25884
01-02-1990,33285
01-03-1990,19372
01-04-1990,29242
01-05-1990,203712
01-06-1990,526586
01-07-1990,760520
01-08-1990,674454
01-09-1990,414563
01-10-1990,111145
01-11-1990,8117
01-12-1990,16692
01-01-1991,28851
01-02-1991,38050
01-03-1991,19946
01-04-1991,19875
01-05-1991,188798
01-06-1991,499107
01-07-1991,796656
01-08-1991,721103
01-09-1991,432948
01-10-1991,144944
01-11-1991,6261
01-12-1991,23998
01-01-1992,33552
01-02-1992,40245
01-03-1992,19615
01-04-1992,51933
01-05-1992,257951
01-06-1992,539959
01-07-1992,799411
01-08-1992,742879
01-09-1992,462788
01-10-1992,159842
01-11-1992,8646
01-12-1992,27584
01-01-1993,38100
01-02-1993,44049
01-03-1993,31768
01-04-1993,24013
01-05-1993,191222
01-06-1993,525378
01-07-1993,768164
01-08-1993,714408
01-09-1993,401124
01-10-1993,125107
01-11-1993,18899
01-12-1993,29961
01-01-1994,40757
01-02-1994,44946
01-03-1994,27859
01-04-1994,36280
01-05-1994,233737
01-06-1994,541704
01-07-1994,831152
01-08-1994,731012
01-09-1994,414848
01-10-1994,106646
01-11-1994,7953
01-12-1994,29251
01-01-1995,40868
01-02-1995,48034
01-03-1995,21157
01-04-1995,26147
01-05-1995,201797
01-06-1995,550978
01-07-1995,847003
01-08-1995,773307
01-09-1995,468062
01-10-1995,128483
01-11-1995,11635
01-12-1995,7814
01-01-1996,32871
01-02-1996,51692
01-03-1996,27162
01-04-1996,24321
01-05-1996,187045
01-06-1996,539368
01-07-1996,818964
01-08-1996,753934
01-09-1996,426806
01-10-1996,118902
01-11-1996,10473
01-12-1996,20633
01-01-1997,31155
01-02-1997,42392
01-03-1997,19324
01-04-1997,21526
01-05-1997,191985
01-06-1997,512895
01-07-1997,774327
01-08-1997,737973
01-09-1997,403184
01-10-1997,120266
01-11-1997,9983
01-12-1997,24503
01-01-1998,33845
01-02-1998,43032
01-03-1998,17894
01-04-1998,29689
01-05-1998,222385
01-06-1998,549396
01-07-1998,829683
01-08-1998,764238
01-09-1998,445741
01-10-1998,150079
01-11-1998,9106
01-12-1998,25742
01-01-1999,34346
01-02-1999,41120
01-03-1999,23067
01-04-1999,27128
01-05-1999,203727
01-06-1999,580624
01-07-1999,832685
01-08-1999,760062
01-09-1999,445057
01-10-1999,142049
01-11-1999,16230
01-12-1999,25286
01-01-2000,37301
01-02-2000,47573
01-03-2000,20404
01-04-2000,27869
01-05-2000,214814
01-06-2000,553892
01-07-2000,768040
01-08-2000,634104
01-09-2000,353728
01-10-2000,139784
01-11-2000,13422
01-12-2000,27302
01-01-2001,44356
01-02-2001,48980
01-03-2001,18485
01-04-2001,28341
01-05-2001,229085
01-06-2001,507737
01-07-2001,724735
01-08-2001,613965
01-09-2001,373583
01-10-2001,121958
01-11-2001,19585
01-12-2001,27716
01-01-2002,40465
01-02-2002,52002
01-03-2002,23305
01-04-2002,15904
01-05-2002,228642
01-06-2002,568144
01-07-2002,794929
01-08-2002,663266
01-09-2002,413960
01-10-2002,142702
01-11-2002,11235
01-12-2002,19123
01-01-2003,36387
01-02-2003,39494
01-03-2003,17718
01-04-2003,28877
01-05-2003,206245
01-06-2003,580919
01-07-2003,809689
01-08-2003,698753
01-09-2003,404498
01-10-2003,175877
01-11-2003,7967
01-12-2003,12951
01-01-2004,22817
01-02-2004,30030
01-03-2004,20187
01-04-2004,32434
01-05-2004,216905
01-06-2004,584925
01-07-2004,732682
01-08-2004,657869
01-09-2004,406327
01-10-2004,135605
01-11-2004,13939
01-12-2004,14597
01-01-2005,22297
01-02-2005,29018
01-03-2005,17324
01-04-2005,26116
01-05-2005,225811
01-06-2005,560014
01-07-2005,743165
01-08-2005,647288
01-09-2005,393362
01-10-2005,142912
01-11-2005,11505
01-12-2005,16839
01-01-2006,23989
01-02-2006,29011
01-03-2006,18879
01-04-2006,29381
01-05-2006,230762
01-06-2006,557213
01-07-2006,738807
01-08-2006,635666
01-09-2006,428369
01-10-2006,146790
01-11-2006,12382
01-12-2006,19046
01-01-2007,25476
01-02-2007,30928
01-03-2007,20225
01-04-2007,27798
01-05-2007,264203
01-06-2007,609606
01-07-2007,822773
01-08-2007,710781
01-09-2007,463994
01-10-2007,139789
01-11-2007,15362
01-12-2007,20408
01-01-2008,26864
01-02-2008,33557
01-03-2008,19147
01-04-2008,24433
01-05-2008,217938
01-06-2008,593405
01-07-2008,808110
01-08-2008,731063
01-09-2008,437552
01-10-2008,145488
01-11-2008,12671
01-12-2008,16352
01-01-2009,24770
01-02-2009,28355
01-03-2009,17317
01-04-2009,24831
01-05-2009,261763
01-06-2009,643844
01-07-2009,900515
01-08-2009,752983
01-09-2009,489438
01-10-2009,123867
01-11-2009,9397
01-12-2009,18107
01-01-2010,25595
01-02-2010,29108
01-03-2010,21028
01-04-2010,32763
01-05-2010,250445
01-06-2010,694841
01-07-2010,957785
01-08-2010,854837
01-09-2010,550504
01-10-2010,189072
01-11-2010,16819
01-12-2010,17388
01-01-2011,24517
01-02-2011,28174
01-03-2011,18728
01-04-2011,28147
01-05-2011,207842
01-06-2011,634316
01-07-2011,906935
01-08-2011,805173
01-09-2011,536349
01-10-2011,175433
01-11-2011,12198
01-12-2011,16514
01-01-2012,24766
01-02-2012,27752
01-03-2012,20248
01-04-2012,29056
01-05-2012,268251
01-06-2012,671825
01-07-2012,888335
01-08-2012,780286
01-09-2012,527610
01-10-2012,177069
01-11-2012,14059
01-12-2012,18472
01-01-2013,24699
01-02-2013,31053
01-03-2013,18613
01-04-2013,24606
01-05-2013,293250
01-06-2013,624429
01-07-2013,812212
01-08-2013,725136
01-09-2013,557925
01-10-2013,47560
01-11-2013,11169
01-12-2013,17378
01-01-2014,26778
01-02-2014,28233
01-03-2014,18778
01-04-2014,31356
01-05-2014,310039
01-06-2014,669642
01-07-2014,858856
01-08-2014,773357
01-09-2014,571764
01-10-2014,194804
01-11-2014,11537
01-12-2014,18340
01-01-2015,28091
01-02-2015,34343
01-03-2015,22989
01-04-2015,46600
01-05-2015,386064
01-06-2015,780768
01-07-2015,980702
01-08-2015,854408
01-09-2015,680213
01-10-2015,252013
01-11-2015,11049
01-12-2015,20470
01-01-2016,30621
01-02-2016,36327
01-03-2016,22924
01-04-2016,59253
01-05-2016,444630
01-06-2016,838316
01-07-2016,995917
01-08-2016,841036
01-09-2016,701754
01-10-2016,242004
01-11-2016,24710
01-12-2016,19685
